Code;Libellé;Emplois, total 2021;Population résidante 2022;Densité d'habitants 2021
5562;Mauborget;25;136;23
5563;Mutrux;27;149;46.1
5564;Novalles;23;103;49.8
5565;Onnens (VD);251;494;98.6
5566;Provence;148;402;12.3
5568;Sainte-Croix;1819;4941;125.3
5571;Tévenon;138;882;62.4
5581;Belmont-sur-Lausanne;492;3871;1431.3
5582;Cheseaux-sur-Lausanne;2095;4447;956.1
5583;Crissier;9193;8987;1586.7
5584;Epalinges;3385;9814;2119.1
5585;Jouxtens-Mézery;185;1460;735.4
5586;Lausanne;123588;140619;3389
5587;Le Mont-sur-Lausanne;8614;9207;941.7
5588;Paudex;1259;1545;3080
5589;Prilly;6660;12316;5643.8
5590;Pully;6410;18928;3152.4
5591;Renens (VD);14650;20881;7062.4
5592;Romanel-sur-Lausanne;1492;3477;1109.6
5601;Chexbres;812;2231;1033
5604;Forel (Lavaux);1068;2112;114
5606;Lutry;3182;10698;1242.2
5607;Puidoux;2284;2919;126.4
5609;Rivaz;87;330;1162.1
5610;Saint-Saphorin (Lavaux);80;394;447.1
5611;Savigny;1450;3367;208.1
5613;Bourg-en-Lavaux;1794;5367;556.9
5621;Aclens;1609;518;136.2
5622;Bremblens;341;607;198.6
5623;Buchillon;116;674;322.5
5624;Bussigny;5872;10238;2004.8
5627;Chavannes-près-Renens;3684;8740;5096.4
5628;Chigny;54;405;455.2
5629;Clarmont;50;211;197.1
5631;Denens;128;732;225.5
5632;Denges;790;1739;1014.7
5633;Echandens;1632;2777;708.5
5634;Echichens;886;3141;235.8
5635;Ecublens (VD);16493;13193;2296.2
5636;Etoy;3040;2917;593.1
5637;Lavigny;871;1027;253.4
5638;Lonay;1891;2749;721
5639;Lully (VD);210;827;405.4
5640;Lussy-sur-Morges;171;738;305.9
5642;Morges;11271;16866;4160.5
5643;Préverenges;1635;5205;2833.5
5645;Romanel-sur-Morges;522;464;273.1
5646;Saint-Prex;3022;5860;1058.8
5648;Saint-Sulpice (VD);1641;4931;2685.2
5649;Tolochenaz;2526;1880;1197.5
5650;Vaux-sur-Morges;81;196;92.4
5651;Villars-Sainte-Croix;1342;959;585.4
5652;Villars-sous-Yens;82;625;198.7
5653;Vufflens-le-Château;180;894;403.7
5654;Vullierens;155;560;79.5
5655;Yens;411;1497;155.4
5656;Hautemorges;1198;4169;124.3
5661;Boulens;67;369;108.2
5663;Bussy-sur-Moudon;39;237;69.6
5665;Chavannes-sur-Moudon;130;219;43.4
5669;Curtilles;63;296;60.4
5671;Dompierre (VD);53;246;75.4
5673;Hermenches;59;368;79.9
5674;Lovatens;39;146;40.9
5675;Lucens;1073;4351;222.8
5678;Moudon;2844;6106;389.8
5680;Ogens;87;320;89.1
5683;Prévonloup;35;215;111.6
5684;Rossenges;13;92;79.2
5688;Syens;33;160;61.7
5690;Villars-le-Comte;32;133;28.6
5692;Vucherens;181;621;189
5693;Montanaire;758;2765;82.9
5701;Arnex-sur-Nyon;27;230;115.8
5702;Arzier-Le Muids;387;2950;56.2
5703;Bassins;228;1477;70.3
5704;Begnins;432;1945;401.7
5705;Bogis-Bossey;83;894;348.6
5706;Borex;112;1161;588.3
5707;Chavannes-de-Bogis;992;1332;468.9
5708;Chavannes-des-Bois;64;997;470.4
5709;Chéserex;206;1253;118.3
5710;Coinsins;202;507;172
5711;Commugny;276;2990;460
5712;Coppet;861;3250;1773
5713;Crans (VD);311;2383;543.3
5714;Crassier;389;1225;580.2
5715;Duillier;371;1148;279.3
5716;Eysins;1779;1726;736.4
5717;Founex;971;3847;810.5
5718;Genolier;994;2001;410.1
5719;Gingins;292;1269;99.4
5720;Givrins;175;1011;261.7
5721;Gland;7262;13298;1585.9
5722;Grens;114;400;159.2
5723;Mies;849;2202;616.8
5724;Nyon;16773;22135;3161.3
5725;Prangins;1880;4067;676.4
5726;La Rippe;254;1162;68.7
5727;Saint-Cergue;414;2744;110.2
5728;Signy-Avenex;653;588;303.1
5729;Tannay;166;1632;921.9
5730;Trélex;211;1443;247.7
5731;Le Vaud;229;1385;435.8
5732;Vich;529;1162;759.9
5741;L'Abergement;37;256;44.1
5742;Agiez;68;373;68.7
5743;Arnex-sur-Orbe;178;665;83.5
5744;Ballaigues;967;1173;125.6
5745;Baulmes;353;1128;47.8
5746;Bavois;238;978;107
5747;Bofflens;50;206;49.8
5748;Bretonnières;47;266;48.3
5749;Chavornay;1716;5358;271.6
5750;Les Clées;33;182;26.6
5752;Croy;105;390;87.8
5754;Juriens;62;348;36.1
5755;Lignerolle;94;408;41
5756;Montcherand;100;500;166.7
5757;Orbe;4740;7548;590.4
5758;La Praz;29;183;34.2
5759;Premier;53;233;36
5760;Rances;95;512;51.9
5761;Romainmôtier-Envy;176;551;75.5
5762;Sergey;27;141;98
5763;Valeyres-sous-Rances;164;613;96.1
5764;Vallorbe;1494;3907;166.7
5765;Vaulion;155;492;38.3
5766;Vuiteboeuf;248;593;115.3
5785;Corcelles-le-Jorat;75;490;56.8
5790;Maracon;94;547;121.5
5792;Montpreveyres;83;662;157
5798;Ropraz;168;530;111.1
5799;Servion;638;2107;330.9
5803;Vulliens;91;630;93.6
5804;Jorat-Menthue;324;1602;90.5
5805;Oron;2395;6099;230.3
5806;Jorat-Mézières;838;3093;267.1
5812;Champtauroz;36;169;47.5
5813;Chevroux;114;507;144.4
5816;Corcelles-près-Payerne;759;2715;221
5817;Grandcour;215;993;94.6
5819;Henniez;289;402;149.8
5821;Missy;83;365;120.7
5822;Payerne;7029;10216;415.6
5827;Trey;80;321;80.1
5828;Treytorrens (Payerne);24;110;36.7
5830;Villarzel;118;499;62
5831;Valbroye;1289;3349;100.4
5841;Château-d'Oex;1712;3539;30.7
5842;Rossinière;148;532;22.9
5843;Rougemont;370;861;17.8
5851;Allaman;425;431;170.7
5852;Bursinel;94;515;273.3
5853;Bursins;429;775;229.1
